id_viaje,vehiculo_id,tipo_vehiculo,fecha,mes,hora_salida,hora_llegada_real,hora_llegada_estimada,distancia_km,numero_entregas,combustible_litros,estado_viaje,tiempo_entrega_horas,tiempo_estimado_horas,diferencia_tiempo_horas,cumplimiento,costo_combustible_usd
VIAJE-5000,VH-111,Furgoneta,2025-03-16,2025-03,10:45:00,20:01:54,20:37:30,513.81,4,197.64,Completado,9.28,9.88,-0.6000000000000014,A tiempo,167.99
VIAJE-5001,VH-123,Camión pesado,2025-02-07,2025-02,10:54:00,06:34:27,08:38:44,1091.35,1,400.14,Completado,19.67,21.75,-2.0799999999999983,A tiempo,340.12
VIAJE-5002,VH-118,Camión ligero,2025-03-08,2025-03,11:46:00,13:09:42,12:26:40,1645.85,5,615.04,Completado,1.4,0.68,0.7199999999999999,Retrasado,522.78
VIAJE-5003,VH-111,Camión pesado,2025-05-31,2025-05,14:20:00,16:24:24,17:34:02,1176.42,4,498.99,Retrasado,2.07,3.23,-1.1600000000000001,A tiempo,424.14
VIAJE-5004,VH-105,Tráiler,2025-04-08,2025-04,06:42:00,04:15:34,00:14:49,1990.71,3,557.43,Cancelado,21.56,17.55,4.009999999999998,Retrasado,473.82
VIAJE-5005,VH-124,Camión ligero,2025-06-16,2025-06,09:22:00,10:18:39,13:21:05,1316.47,6,550.28,Cancelado,0.94,3.98,-3.04,A tiempo,467.74
VIAJE-5006,VH-107,Camión pesado,2025-04-04,2025-04,06:25:00,13:13:52,09:13:48,2097.89,5,756.62,Cancelado,6.81,2.81,3.9999999999999996,Retrasado,643.13
VIAJE-5007,VH-123,Camión ligero,2025-01-15,2025-01,13:36:00,15:39:20,13:10:31,1036.69,6,453.31,Completado,2.06,23.58,-21.52,A tiempo,385.31
VIAJE-5008,VH-107,Tráiler,2025-02-15,2025-02,06:38:00,20:51:30,19:32:08,584.64,6,243.29,Completado,14.22,12.9,1.3200000000000003,Retrasado,206.8
VIAJE-5009,VH-104,Furgoneta,2025-01-16,2025-01,09:14:00,22:27:16,22:18:46,799.45,4,285.71,Completado,13.22,13.08,0.14000000000000057,Retrasado,242.85
VIAJE-5010,VH-110,Camión ligero,2025-02-20,2025-02,13:07:00,11:26:38,11:43:39,1094.96,1,320.82,Retrasado,22.33,22.61,-0.28000000000000114,A tiempo,272.7
VIAJE-5011,VH-109,Camión ligero,2025-05-29,2025-05,12:55:00,08:32:46,12:10:37,2565.38,4,741.29,Cancelado,19.63,23.26,-3.6300000000000026,A tiempo,630.1
VIAJE-5012,VH-124,Tráiler,2025-01-01,2025-01,10:48:00,07:31:47,05:31:05,846.39,6,297.47,Cancelado,20.73,18.72,2.0100000000000016,Retrasado,252.85
