id_viaje,vehiculo_id,tipo_vehiculo,fecha,hora_salida,hora_llegada_real,hora_llegada_estimada,distancia_km,numero_entregas,combustible_litros,estado_viaje
VIAJE-5000,VH-111,Furgoneta,2025-03-16,10:45:00,20:01:54,20:37:30,513.81,4,197.64,Completado
VIAJE-5001,VH-123,Camión pesado,2025-02-07,10:54:00,06:34:27,08:38:44,1091.35,1,400.14,Completado
VIAJE-5002,VH-118,Camión ligero,2025-03-08,11:46:00,13:09:42,12:26:40,1645.85,5,615.04,Completado
VIAJE-5003,VH-111,Camión pesado,2025-05-31,14:20:00,16:24:24,17:34:02,1176.42,4,498.99,Retrasado
VIAJE-5004,VH-105,Tráiler,2025-04-08,06:42:00,04:15:34,00:14:49,1990.71,3,557.43,Cancelado
VIAJE-5005,VH-124,Camión ligero,2025-06-16,09:22:00,10:18:39,13:21:05,1316.47,6,550.28,Cancelado
VIAJE-5006,VH-107,Camión pesado,2025-04-04,06:25:00,13:13:52,09:13:48,2097.89,5,756.62,Cancelado
VIAJE-5007,VH-123,Camión ligero,2025-01-15,13:36:00,15:39:20,13:10:31,1036.69,6,453.31,Completado
VIAJE-5008,VH-107,Tráiler,2025-02-15,06:38:00,20:51:30,19:32:08,584.64,6,243.29,Completado
VIAJE-5009,VH-104,Furgoneta,2025-01-16,09:14:00,22:27:16,22:18:46,799.45,4,285.71,Completado
VIAJE-5010,VH-110,Camión ligero,2025-02-20,13:07:00,11:26:38,11:43:39,1094.96,1,320.82,Retrasado
VIAJE-5011,VH-109,Camión ligero,2025-05-29,12:55:00,08:32:46,12:10:37,2565.38,4,741.29,Cancelado
VIAJE-5012,VH-124,Tráiler,2025-01-01,10:48:00,07:31:47,05:31:05,846.39,6,297.47,Cancelado
VIAJE-5013,VH-109,Furgoneta,2025-03-09,14:15:00,07:56:33,06:55:39,1010.49,5,341.55,Completado
VIAJE-5014,VH-115,Camión ligero,2025-03-23,14:30:00,15:18:22,16:35:36,921.6,4,247.83,Retrasado
VIAJE-5015,VH-110,Camión pesado,2025-02-19,07:48:00,20:27:46,19:46:45,535.49,3,190.68,Completado
VIAJE-5016,VH-121,Furgoneta,2025-06-06,09:36:00,18:30:24,21:08:12,1413.37,2,575.47,Completado
VIAJE-5017,VH-119,Camión pesado,2025-03-25,14:30:00,22:33:38,20:20:32,1973.33,6,861.49,Retrasado
VIAJE-5018,VH-109,Furgoneta,2025-02-07,10:21:00,21:46:43,21:14:38,2238.0,3,749.86,Retrasado
VIAJE-5019,VH-124,Tráiler,2025-01-02,12:03:00,10:36:33,17:14:37,2055.34,2,829.14,Completado
VIAJE-5020,VH-122,Camión pesado,2025-02-23,10:18:00,02:35:50,06:06:51,1247.09,4,393.0,Cancelado
VIAJE-5021,VH-123,Camión pesado,2025-02-25,14:28:00,07:51:40,03:38:39,1418.73,2,559.79,Cancelado
VIAJE-5022,VH-115,Camión ligero,2025-06-18,12:44:00,10:52:51,07:50:13,2688.54,2,998.37,Retrasado
VIAJE-5023,VH-101,Camión ligero,2025-01-15,11:17:00,14:01:35,10:54:21,1270.97,3,351.88,Completado
VIAJE-5024,VH-110,Tráiler,2025-02-08,08:37:00,00:21:50,00:04:20,598.4,1,188.84,Cancelado
VIAJE-5025,VH-124,Furgoneta,2025-05-23,14:52:00,06:16:19,07:59:07,475.62,1,185.42,Completado
VIAJE-5026,VH-111,Tráiler,2025-02-24,08:20:00,07:52:34,05:45:01,1140.24,3,506.59,Completado
VIAJE-5027,VH-108,Camión ligero,2025-02-05,07:41:00,04:34:44,06:26:52,958.12,4,398.9,Completado
